5,7
5,7
5,6
5,4
5,3
5,6
5,7
5,5
5,5
5,7
7,6
5,3
5,4
5,8
5,3
5,3
5,4
5,2
5,4
5,4
5,4
5,3
5,3
5,7
5,4
5,5
5,4
5,3
5,6
5,7
5,9
5,5
5,4
5,4
5,3
5,4
5,10
5,4
5,4
5,4
5,4
5,4
5,6
5,3
5,8
5,8
5,3
5,3
5,4
5,3
5,5
5,4
5,5
5,4
5,3
5,3
5,5
5,3
5,8
5,8
5,3
5,7
5,4
5,1
5,4
5,8
5,3
5,4
5,4
5,4
5,4
5,4
5,3
5,3
5,4
5,4
5,5
5,4
5,5
5,3
5,4
5,3
5,6
5,7
5,4
5,4
5,3
5,3
5,4
5,6
5,6
5,6
5,8
5,4
5,3
5,5
5,3
5,4
5,5
5,3
5,3
5,4
6,4
5,7
5,4
5,6
5,4
5,7
5,5
5,4
5,3
5,3
5,3
5,6
5,6
5,3
5,1
5,3
5,4
5,7
5,4
5,6
5,5
5,4
5,4
5,4
5,7
5,3
5,5
5,3
5,3
5,4
5,4
5,5
5,5
5,4
5,10
5,4
5,4
5,3
5,6
5,4
5,6
5,8
6,3
5,4
5,3
5,5
5,1
5,4
5,4
5,4
5,3
5,4
5,3
5,6
5,4
5,4
5,5
5,4
5,3
5,3
5,4
5,4
5,5
5,4
5,4
5,4
5,4
5,6
5,4
5,8
5,6
5,5
5,4
5,3
5,4
5,4
5,5
5,3
5,1
5,5
5,3
5,4
5,3
5,6
5,6
5,5
5,5
5,4
5,5
5,3
5,4
5,4
6,4
5,4
5,3
5,4
5,5
5,7
5,5
5,4
5,3
5,4
5,3
5,7
5,4
5,4
5,4
5,4
5,3
5,6
5,3
5,8
5,4
5,6
5,7
5,5
5,6
5,4
5,3
5,4
5,4
5,6
5,3
5,4
5,4
5,4
5,4
5,7
5,4
5,5
5,5
5,3
5,8
5,4
5,4
5,4
5,7
5,6
5,3
5,6
5,4
5,4
5,4
5,4
5,3
5,4
5,1
5,7
5,6
5,4
5,3
5,3
5,3
5,4
5,4
5,4
5,4
5,5
5,6
5,3
5,5
5,4
5,4
5,4
5,3
5,6
5,8
5,5
5,4
5,4
5,10
5,3
5,4
5,6
5,4
5,3
5,6
5,10
5,4
5,4
5,3
5,4
5,4
5,4
5,6
5,4
