5,4
5,4
5,3
5,7
5,4
5,4
5,4
5,5
5,4
5,4
5,3
5,3
5,3
5,3
5,4
5,3
5,4
5,3
5,4
5,3
5,5
5,4
5,3
5,3
5,4
5,4
5,2
5,3
5,3
5,3
5,3
5,3
5,4
5,4
5,5
5,6
5,4
5,3
5,4
5,3
5,3
5,4
5,6
5,4
5,9
5,4
5,3
5,5
5,3
5,4
5,4
5,2
5,5
5,6
5,4
5,4
5,6
5,4
5,4
5,3
5,4
5,3
5,2
5,3
5,3
5,4
5,4
5,3
5,6
5,6
5,4
5,3
5,3
5,4
6,6
5,6
5,2
5,3
5,3
5,8
5,6
5,4
5,4
5,5
5,5
5,5
5,4
5,5
5,6
5,4
5,3
5,4
5,4
5,4
5,4
5,6
5,4
5,3
5,3
5,3
5,5
5,6
5,4
5,4
5,2
5,4
5,3
5,3
5,4
5,6
5,3
5,3
5,6
5,6
5,6
5,3
5,4
5,4
5,5
5,5
5,4
5,4
5,7
5,3
5,3
5,5
5,4
5,9
5,4
5,6
5,5
5,4
5,4
5,6
5,6
5,3
5,4
5,3
5,4
5,6
5,3
5,7
5,3
5,8
5,3
5,3
5,3
5,7
5,3
5,3
5,3
5,3
5,4
5,3
5,5
5,6
5,4
5,3
5,5
5,3
5,5
5,3
5,4
5,5
5,4
5,12
5,3
5,4
5,3
5,7
5,4
5,3
5,1
5,10
5,6
5,3
5,4
5,4
5,4
5,6
5,4
5,4
5,3
5,5
5,7
5,3
5,5
5,4
5,3
5,4
5,1
5,6
5,3
5,3
5,5
5,4
5,3
5,1
5,4
5,5
5,4
5,5
5,4
5,3
5,2
5,5
5,4
5,4
5,5
5,4
5,4
5,5
5,3
5,3
5,4
5,3
5,5
5,5
5,3
5,4
5,3
5,3
5,2
4,5
5,2
5,3
5,4
5,5
5,4
5,3
5,2
5,4
5,5
5,6
5,2
5,5
5,7
5,3
5,2
5,6
5,2
5,4
5,4
5,6
5,3
5,4
5,6
5,1
5,3
5,4
5,4
5,6
5,3
5,3
5,4
5,3
5,3
5,4
5,3
5,3
5,1
5,1
5,2
5,2
5,3
5,3
5,3
5,5
5,8
5,3
5,5
5,3
5,4
5,8
5,5
5,7
5,4
5,5
5,6
5,3
5,3
5,6
5,3
5,3
5,3
5,5
5,3
5,4
